prov,year,month,population,ng_customers,ng_sales_cm3,ng_price ,utility_sales,direct_sales,hdd,gdp,cpi,heating_oil,electric_over_5000kw,electric_under_5000kw,unem_unadj,unem_seasonally,building_permits,vacancy_rate,pct15,pct65,disposable_inc,henry_hub,carbon_tonne,carbon_natural_gas,aeco,full_inc,hhld_d_income
Alberta,1990,1,"2,547,788",643750,485615,11.34,,,755.3,"149,568",73.1,,21.1,33.1,7.6,6.9,1384,1.9,0.249349632,0.088167461,39524,,0,0,1.62,39524000000,15513.06467
Alberta,1990,2,"2,547,788",644868,425551,11.27,,,746.9,"149,568",73.4,,21.1,33.4,7.2,6.7,1634,1.9,0.249349632,0.088167461,39524,,0,0,1.64,39524000000,15513.06467
Alberta,1990,3,"2,547,788",646013,355354,11.68,,,551.5,"149,568",73.6,,21.1,33.4,6.8,6.5,2511,1.9,0.249349632,0.088167461,39524,,0,0,1.59,39524000000,15513.06467
Alberta,1990,4,"2,547,788",646665,231947,11.83,,,407.8,"149,568",74.1,,21.8,35,7,6.7,2261,1.9,0.249349632,0.088167461,39524,,0,0,1.53,39524000000,15513.06467
Alberta,1990,5,"2,547,788",646887,153261,13.17,,,255.9,"149,568",74.3,,21.8,35,6.7,6.7,2050,1.9,0.249349632,0.088167461,39524,,0,0,1.55,39524000000,15513.06467
Alberta,1990,6,"2,547,788",647372,86080,16.65,,,118.5,"149,568",74.8,,21.8,35,5.8,6.2,1278,1.9,0.249349632,0.088167461,39524,,0,0,1.5,39524000000,15513.06467
Alberta,1990,7,"2,547,788",647472,81527,17.59,,,69.4,"149,568",75.3,,21.8,35,6.9,6.7,1178,1.9,0.249349632,0.088167461,39524,,0,0,1.5,39524000000,15513.06467
Alberta,1990,8,"2,547,788",649940,86263,17.45,,,69.4,"149,568",75.5,,21.8,35,6.5,6.6,1207,1.9,0.249349632,0.088167461,39524,,0,0,1.48,39524000000,15513.06467
Alberta,1990,9,"2,547,788",652251,103715,16.24,,,135.7,"149,568",75.8,,21.8,35,6.4,7.2,1079,1.9,0.249349632,0.088167461,39524,,0,0,1.48,39524000000,15513.06467
Alberta,1990,10,"2,547,788",656317,254405,12.09,,,453.1,"149,568",76.4,,21.6,34.1,6.9,7.4,1184,1.9,0.249349632,0.088167461,39524,,0,0,1.52,39524000000,15513.06467
Alberta,1990,11,"2,547,788",658655,403157,11.72,,,712.4,"149,568",76.8,,21.6,34.1,7.1,7.6,933,1.9,0.249349632,0.088167461,39524,,0,0,1.58,39524000000,15513.06467
Alberta,1990,12,"2,547,788",659794,527383,11.38,,,944.3,"149,568",76.7,,21.6,34.1,7.5,7.8,539,1.9,0.249349632,0.088167461,39524,,0,0,1.64,39524000000,15513.06467
Alberta,1991,1,"2,592,306",660387,570225,11.18,,,877,"150,229",78.9,,21.9,34.8,8.5,7.7,494,3.1,0.249431587,0.089708159,41077,,0,0,1.64,41077000000,15845.73735
Alberta,1991,2,"2,592,306",660188,316828,12.31,,,513.4,"150,229",78.2,,21.9,34.8,8.1,7.5,662,3.1,0.249431587,0.089708159,41077,,0,0,1.59,41077000000,15845.73735
Alberta,1991,3,"2,592,306",661439,411598,11.44,,,702.5,"150,229",78.6,,21.9,34.8,8.4,8,961,3.1,0.249431587,0.089708159,41077,,0,0,1.49,41077000000,15845.73735
Alberta,1991,4,"2,592,306",661096,221206,12.04,,,367.6,"150,229",78.6,,23.6,36.5,8.3,7.9,1611,3.1,0.249431587,0.089708159,41077,,0,0,1.42,41077000000,15845.73735
Alberta,1991,5,"2,592,306",660579,146577,14.43,,,245.8,"150,229",79.2,,23.6,36.5,8.2,8.2,1520,3.1,0.249431587,0.089708159,41077,,0,0,1.38,41077000000,15845.73735
Alberta,1991,6,"2,592,306",660696,96345,17.17,,,138.5,"150,229",79.5,,25.3,38.3,7.7,8.3,1452,3.1,0.249431587,0.089708159,41077,,0,0,1.3,41077000000,15845.73735
Alberta,1991,7,"2,592,306",661305,71185,22.6,,,54.3,"150,229",79.9,,25.3,38.3,8.5,8.3,1516,3.1,0.249431587,0.089708159,41077,,0,0,1.25,41077000000,15845.73735
Alberta,1991,8,"2,592,306",662368,73114,21.25,,,33.4,"150,229",80,,25.3,38.3,7.9,8.1,1165,3.1,0.249431587,0.089708159,41077,,0,0,1.18,41077000000,15845.73735
Alberta,1991,9,"2,592,306",665061,136559,15.17,,,204.2,"150,229",80,,25.3,38.3,7.5,8.4,1376,3.1,0.249431587,0.089708159,41077,,0,0,1.18,41077000000,15845.73735
Alberta,1991,10,"2,592,306",668576,294075,12,,,519,"150,229",79.8,,25.3,38.3,7.8,8.5,1236,3.1,0.249431587,0.089708159,41077,,0,0,1.22,41077000000,15845.73735
Alberta,1991,11,"2,592,306",660222,410018,12.13,,,670.1,"150,229",80,,25.3,38.3,8.7,9,999,3.1,0.249431587,0.089708159,41077,,0,0,1.33,41077000000,15845.73735
Alberta,1991,12,"2,592,306",671712,450129,11.78,,,713.5,"150,229",79.6,,25.3,38.3,8.8,9.1,1001,3.1,0.249431587,0.089708159,41077,,0,0,1.36,41077000000,15845.73735
Alberta,1992,1,"2,632,672",672527,425309,11.81,,,682.3,"151,229",79.8,,25.3,38.3,10.3,9.4,942,4.8,0.249151053,0.091235065,42066,,0,0,1.36,42066000000,15978.44319
Alberta,1992,2,"2,632,672",673440,387953,11.91,,,676.2,"151,229",80,,25.3,38.3,10.5,9.7,1227,4.8,0.249151053,0.091235065,42066,,0,0,1.26,42066000000,15978.44319
Alberta,1992,3,"2,632,672",674145,308522,12.5,,,481.7,"151,229",80.4,,25.3,38.3,10.1,9.1,2032,4.8,0.249151053,0.091235065,42066,,0,0,1.22,42066000000,15978.44319
Alberta,1992,4,"2,632,672",674474,254002,12.56,,,363.8,"151,229",80.3,,25.3,38.9,9.5,8.9,2001,4.8,0.249151053,0.091235065,42066,,0,0,1.24,42066000000,15978.44319
Alberta,1992,5,"2,632,672",674277,161148,14.22,,,265.7,"151,229",80.4,,25.3,38.9,9.2,9,1907,4.8,0.249151053,0.091235065,42066,,0,0,1.26,42066000000,15978.44319
Alberta,1992,6,"2,632,672",674932,92749,18.03,,,94.5,"151,229",80.5,,25.3,38.9,9.1,9.8,1875,4.8,0.249151053,0.091235065,42066,,0,0,1.28,42066000000,15978.44319
Alberta,1992,7,"2,632,672",675650,86447,18.58,,,108.2,"151,229",80.8,,26,39.6,9.6,9.2,1693,4.8,0.249151053,0.091235065,42066,,0,0,1.21,42066000000,15978.44319
Alberta,1992,8,"2,632,672",677295,106166,17.26,,,134.2,"151,229",80.8,,26,39.6,9.2,9.5,1433,4.8,0.249151053,0.091235065,42066,,0,0,1.28,42066000000,15978.44319
Alberta,1992,9,"2,632,672",680941,171051,14.28,,,275.6,"151,229",80.8,,26,39.6,8.4,9.5,1798,4.8,0.249151053,0.091235065,42066,,0,0,1.28,42066000000,15978.44319
Alberta,1992,10,"2,632,672",684113,260903,12.73,,,416.2,"151,229",80.7,,26,39.6,8.6,9.5,2029,4.8,0.249151053,0.091235065,42066,,0,0,1.45,42066000000,15978.44319
Alberta,1992,11,"2,632,672",686702,380678,11.83,,,601.4,"151,229",81.2,,26.4,39.5,9.9,10.2,1622,4.8,0.249151053,0.091235065,42066,,0,0,1.45,42066000000,15978.44319
Alberta,1992,12,"2,632,672",688490,577207,11,,,978.7,"151,229",81,,26.4,39.5,9.4,9.7,1035,4.8,0.249151053,0.091235065,42066,,0,0,1.44,42066000000,15978.44319
Alberta,1993,1,"2,667,292",689199,571616,11.25,,,964.4,"162,978",81.3,,26.4,39.6,9.9,9,1067,6.1,0.247790268,0.092954202,44536,,0,0,1.46,44536000000,16697.08453
